demand,capacity factor criteria,power,lcoe_O,lcoe_1,lcoe_2,lcoe_3
1000,1.0,500,121.65568633185057,112.69019276308124,103.72469919431185,94.75920562554246
1000,1.0,400,130.6748156206713,119.7826207392827,108.8904258578942,97.99823097650564
1000,1.0,300,125.5591434403141,116.60162612910224,107.6441088178904,98.68659150667857
1000,1.0,200,105.352607251552,102.18972040606512,99.02683356057818,95.86394671509137
1000,1.0,100,103.31910833633916,102.01009143717414,100.70107453800914,99.39205763884407
1000,1.0,50,102.64947626841533,102.24477033985809,101.8400644113008,101.43535848274355
1000,1.0,20,110.72304769702492,110.45209072024024,110.18113374345552,109.91017676667076
1000,1.0,5,118.71702613184937,118.62550088418001,118.5339756365107,118.44245038884144
1000,1.0,1,137.76492426349947,137.7528466506764,137.74076903785325,137.72869142503015
5000,0.9,1000,83.49999691597034,80.33711007048345,77.17422322499652,74.01133637950964
5000,0.9,900,77.84173838909669,76.54954076006463,75.25734313103257,73.96514550200047
5000,0.9,800,80.30272200638395,78.47293395816455,76.64314590994499,74.81335786172552
5000,0.9,700,80.77890808475587,79.04369222343612,77.30847636211641,75.57326050079664
5000,0.9,600,79.59392391568991,78.48753341651917,77.38114291734846,76.27475241817774
5000,0.9,500,76.92532353831167,76.92532353831167,76.92532353831167,76.92532353831167
5000,0.9,400,80.1473152279031,79.71020763560936,79.27310004331562,78.83599245102191
5000,0.9,300,77.5121544889783,77.5121544889783,77.5121544889783,77.5121544889783
5000,0.9,200,81.59986522277248,81.59986522277248,81.59986522277248,81.59986522277248
5000,0.9,100,83.49624792668702,83.49624792668702,83.49624792668702,83.49624792668702
5000,0.9,50,86.5479456310226,86.5479456310226,86.5479456310226,86.5479456310226
5000,0.9,20,93.45631717893492,93.45631717893492,93.45631717893492,93.45631717893492
5000,0.9,5,102.21035063384552,102.21035063384552,102.21035063384552,102.21035063384552
5000,0.9,1,122.77929066341221,122.77929066341221,122.77929066341221,122.77929066341221
5000,0.95,1000,83.49999691597034,80.33711007048345,77.17422322499652,74.01133637950964
5000,0.95,900,88.05607287385868,83.73829547436746,79.42051807487626,75.10274067538506
5000,0.95,800,80.30272200638395,78.47293395816455,76.64314590994499,74.81335786172552
5000,0.95,700,80.77890808475587,79.04369222343612,77.30847636211641,75.57326050079664
5000,0.95,600,79.59392391568991,78.48753341651917,77.38114291734846,76.27475241817774
5000,0.95,500,81.24409201967629,80.02461125136152,78.80513048304677,77.58564971473193
5000,0.95,400,80.1473152279031,79.71020763560936,79.27310004331562,78.83599245102191
5000,0.95,300,77.98536607211483,77.82647452187958,77.66758297164434,77.50869142140905
5000,0.95,200,81.59987485113238,81.59987485113238,81.59987485113238,81.59987485113238
5000,0.95,100,82.91202496635287,82.91202496635287,82.91202496635287,82.91202496635287
5000,0.95,50,86.08161394277076,86.08161394277076,86.08161394277076,86.08161394277076
5000,0.95,20,92.88848539316112,92.88848539316112,92.88848539316112,92.88848539316112
5000,0.95,5,101.70082011969768,101.70082011969768,101.70082011969768,101.70082011969768
5000,0.95,1,122.33004336097353,122.33004336097353,122.33004336097353,122.33004336097353
5000,0.99,1000,83.49999691597034,80.33711007048345,77.17422322499652,74.01133637950964
5000,0.99,900,88.05607287385868,83.73829547436746,79.42051807487626,75.10274067538506
5000,0.99,800,90.162913029115,85.46229709313295,80.76168115715076,76.06106522116866
5000,0.99,700,89.77876752791246,85.46715679035185,81.15554605279128,76.84393531523071
5000,0.99,600,86.8379921747985,83.6868283974177,80.53566462003687,77.38450084265605
5000,0.99,500,81.24409201967629,80.02461125136152,78.80513048304677,77.58564971473193
5000,0.99,400,80.72234947456892,79.12328819563265,77.52422691669638,75.92516563776016
5000,0.99,300,80.42184521145575,79.60229381062163,78.78274240978756,77.96319100895346
5000,0.99,200,81.74154872918042,81.71025304214061,81.67895735510086,81.64766166806103
5000,0.99,100,82.99744603663392,82.88789269573375,82.7783393548336,82.66878601393351
5000,0.99,50,85.73150206369685,85.71233154624078,85.69316102878469,85.67399051132865
5000,0.99,20,92.56321865644118,92.5439151982464,92.52461174005157,92.50530828185678
5000,0.99,5,101.34669703734973,101.34037828400517,101.33405953066055,101.32774077731602
5000,0.99,1,122.00353231997951,122.00154396902109,121.99955561806257,121.99756726710409
5000,1.0,1000,83.49999691597034,80.33711007048345,77.17422322499652,74.01133637950964
