demand,capacity factor criteria,power,# units,lcoe_1,lcoe_2,lcoe_3
500,0.9,1000,1,163.98788899751742,138.98788899751742,113.98788899751746
500,0.9,900,1,151.19174035766724,131.19174035766724,111.19174035766726
500,0.9,800,1,138.16701638687113,123.16701638687111,108.16701638687108
500,0.9,700,1,124.8761545710374,114.8761545710374,104.8761545710374
500,0.9,600,1,111.26914489875017,106.26914489875016,101.26914489875016
500,0.9,500,1,97.27654246441969,97.27654246441969,97.27654246441969
500,0.9,400,2,136.67307851457804,122.50894379587902,108.34480907717993
500,0.9,300,2,111.4455929536005,106.65751153027082,101.86943010694104
500,0.9,200,3,112.82961082855432,108.25215591319757,103.67470099784082
500,0.9,100,5,102.9106947381337,102.9106947381337,102.9106947381337
500,0.9,50,10,108.8600843781734,108.8600843781734,108.8600843781734
500,0.9,20,24,116.34587506259587,116.34587506259587,116.34587506259587
500,0.9,10,48,121.44251295875178,121.44251295875178,121.44251295875178
500,0.9,5,94,128.76686471843698,128.76686471843698,128.76686471843698
500,0.9,1,458,147.77910927745793,147.77910927745793,147.77910927745793
1000,0.9,1000,1,86.99394449875875,86.99394449875875,86.99394449875875
1000,0.9,900,2,133.0803626194518,114.32548756876977,95.5706125180878
1000,0.9,800,2,122.35869777464465,108.19456305594558,94.03042833724666
1000,0.9,700,2,111.2649145769927,101.75592279711863,92.2469310172445
1000,0.9,600,2,99.74918644851734,94.96110502518762,90.17302360185796
1000,0.9,500,2,87.7438962369055,87.7438962369055,87.7438962369055
1000,0.9,400,3,100.96476854104944,96.38731362569261,91.8098587103359
1000,0.9,300,4,102.07560223882501,97.70749276250056,93.33938328617617
1000,0.9,200,5,92.31977536233633,92.31977536233633,92.31977536233633
1000,0.9,100,10,97.5379079484812,97.5379079484812,97.5379079484812
1000,0.9,50,20,100.75779635803033,100.75779635803033,100.75779635803033
1000,0.9,20,48,110.55187532498078,110.55187532498078,110.55187532498078
1000,0.9,10,95,112.88069827334476,112.88069827334476,112.88069827334476
1000,0.9,5,186,119.45949838478012,119.45949838478012,119.45949838478012
1000,0.9,1,915,138.91132564933915,138.91132564933915,138.91132564933915
2000,0.9,1000,2,79.1079176352803,79.1079176352803,79.1079176352803
2000,0.9,900,3,98.40433607090542,90.47752583656661,82.55071560222774
2000,0.9,800,3,90.94698496672297,86.36953005136616,81.79207513600942
2000,0.9,700,3,83.1741898599471,82.01760843621821,80.86102701248933
2000,0.9,600,4,91.88069658212632,87.51258710580186,83.14447762947742
2000,0.9,500,4,81.84451952892758,81.84451952892758,81.84451952892758
2000,0.9,400,5,83.06057993943328,83.06057993943328,83.06057993943328
2000,0.9,300,7,87.45595578026443,86.48857629302697,85.52119680578943
2000,0.9,200,10,87.87165673313135,87.87165673313135,87.87165673313135
2000,0.9,100,20,90.51163620657334,90.51163620657334,90.51163620657334
2000,0.9,50,38,94.88586780773062,94.88586780773062,94.88586780773062
2000,0.9,20,96,102.66988628495292,102.66988628495292,102.66988628495292
2000,0.9,10,188,104.80912787225397,104.80912787225397,104.80912787225397
2000,0.9,5,371,111.42406586376458,111.42406586376458,111.42406586376458
2000,0.9,1,1829,131.26411735948852,131.26411735948852,131.26411735948852
6000,0.9,1000,6,72.09809163510181,72.09809163510181,72.09809163510181
6000,0.9,900,7,74.83654985683638,73.86917036959888,72.90179088236137
6000,0.9,800,8,76.08202760395729,74.86090984877276,73.63979209358831
6000,0.9,700,9,76.08361061094323,75.21177171467458,74.33993281840591
6000,0.9,600,10,75.0182522225005,75.0182522225005,75.0182522225005
6000,0.9,500,12,76.28549352658416,76.28549352658416,76.28549352658416
6000,0.9,400,15,74.55961638247406,74.55961638247406,74.55961638247406
6000,0.9,300,20,77.09648103572812,77.09648103572812,77.09648103572812
6000,0.9,200,29,80.76413928969595,80.76413928969595,80.76413928969595
6000,0.9,100,58,81.6948024616552,81.6948024616552,81.6948024616552
6000,0.9,50,113,84.85020691597295,84.85020691597295,84.85020691597295
6000,0.9,20,284,91.75552784605463,91.75552784605463,91.75552784605463
6000,0.9,10,563,94.02948147429152,94.02948147429152,94.02948147429152
6000,0.9,5,1110,100.53776256539987,100.53776256539987,100.53776256539987
6000,0.9,1,5486,121.28508364961962,121.28508364961962,121.28508364961962
