demand,capacity factor criteria,power,# units,lcoe_1,lcoe_2,lcoe_3
1000,0.99995,1,1016,137.75888545708793,137.74378844105908,137.72869142503015
2000,0.99995,1000,3,105.5774052658735,94.37053830491178,83.1636713439501
2000,0.99995,900,4,123.42469255842241,104.98254350646975,86.54039445451708
2000,0.99995,800,4,112.73724164848394,99.12199804674817,85.50675444501248
2000,0.99995,700,4,101.85671589619231,93.06837774467354,84.28003959315478
2000,0.99995,600,5,108.91497636747243,97.71807972845768,86.52118308944287
2000,0.99995,500,5,94.93253990941751,89.76845937690516,84.60437884439285
2000,0.99995,400,6,93.31046248054125,89.35685392368262,85.40324536682404
2000,0.99995,300,8,95.48264580302806,91.53661150304902,87.59057720307001
2000,0.99995,200,11,92.13075464139315,90.60640368099965,89.08205272060614
2000,0.99995,100,21,91.7039130498278,91.30146092232013,90.89900879481257
2000,0.99995,50,42,95.49967305596911,95.02870722614436,94.55774139631957
2000,0.99995,20,105,101.94965769437668,101.84939928605186,101.74914087772706
2000,0.99995,10,208,103.83670620947873,103.78401263672475,103.73131906397074
2000,0.99995,5,411,110.49943056548956,110.4455009780816,110.39157139067373
2000,0.99995,1,2032,130.27561609839103,130.25989840551867,130.2441807126464
6000,0.99995,1000,7,79.14904451368888,76.00346881983332,72.85789312597778
6000,0.99995,900,8,81.63795177810802,77.69191747812901,73.74588317814997
6000,0.99995,800,9,82.4124640092485,78.4700702740573,74.5276765388661
6000,0.99995,700,10,81.4306058606122,78.29551099226748,75.16041612392272
6000,0.99995,600,11,78.63107085990421,77.10671989951078,75.58236893911725
6000,0.99995,500,13,78.99752382355003,77.88033832974861,76.76315283594721
6000,0.99995,400,16,76.23102411079165,75.52253490678063,74.81404570276959
6000,0.99995,300,21,77.83255254079391,77.53961415151132,77.24667576222873
6000,0.99995,200,32,81.88633947019805,81.21329322175797,80.5402469733179
6000,0.99995,100,64,81.88289064689631,81.50214886553556,81.12140708417476
6000,0.99995,50,124,84.2664123569292,84.19359956861776,84.12078678030632
6000,0.99995,20,315,91.01930009606103,90.91516907623122,90.81103805640139
6000,0.99995,10,626,93.34718219838513,93.29318188468419,93.2391815709833
6000,0.99995,5,1231,99.64684251719196,99.63202373990926,99.61720496262652
6000,0.99995,1,6094,120.48573606840004,120.47798350364245,120.47023093888487
